"strain" "sex" "age" "malenum" "femalenum" "littersize" "femalelitterratio" "mousewt" "mousewtadj" "brainwt" "ccarea" "ccindex" "ccindex.1" "trans1st10min" "trans3rd5min" "bothcyl.1st10min" "nonsoc.3rd5min" "soc.3rd5min"
"1" "C57BL6/J" "Female" 43 1 1 2 0.0810771756562313 2.89931980146683 2.88148282282246 0.0756936511926575 0.136268030668941 0.16395014897244 "cc1" 71 26 20 6 26
"2" "C57BL6/J" "Female" 43 1 1 3 0.663728022870527 23.0048132726925 22.8720676681184 0.63213456898189 1.14923179703986 1.2271667268833 "cc1" 87 34 35 3 48
"3" "C57BL6/J" "Male" 43 3 3 7 0.53891198274533 24.4450475373282 24.3264869011242 0.530397173417954 0.979386302722398 0.968693700492845 "cc1" 204 60 36 12 106
"4" "C57BL6/J" "Male" 43 1 0 1 0.398184996977324 28.4304088126113 28.2990077634774 0.537191379959299 0.948703629196965 1.159173136923 "cc1" 24 5 10 1 33
"5" "C57BL6/J" "Male" 43 3 2 5 0.285559238368996 21.031437926908 20.9200698238327 0.41403234012524 0.758082677633408 0.740916039277422 "cc1" 141 39 55 8 157
"6" "C57BL6/J" "Female" 71 5 6 11 0.695906907213075 26.5732052718612 25.6720058263443 0.596253038547352 1.18997297595055 1.14539901322865 "cc1" 169 45 27 13 72
"7" "C57BL6/J" "Male" 71 2 3 5 0.90656373680001 43.6601095970336 42.0736230564437 0.803555432808776 1.60917329812032 1.58601730546577 "cc1" 68 22 13 3 59
"8" "C57BL6/J" "Female" 32 3 2 5 0.499295025977921 20.3962018111981 20.2464133034047 0.544855697098406 0.946850604888879 1.19028651827635 "cc1" 130 50 53 5 43
"9" "C57BL6/J" "Female" 32 3 2 5 0.47421265175969 17.4628809010506 17.4273149521686 0.485356649076042 0.81253966815764 1.2119736426886 "cc1" 102 25 41 22 96
"10" "C57BL6/J" "Male" 32 3 2 6 0.283768756731291 13.67055985553 13.2590951582696 0.322857902971027 0.573759143453916 0.695296668448179 "cc1" 139 26 71 12 123
"11" "C57BL6/J" "Male" 32 3 2 5 0.450752099501029 22.4699921601263 22.1995409004257 0.508561056262036 0.899825147431417 1.04995417086773 "cc1" 56 11 43 23 84
"12" "C57BL6/J" "Female" 20 3 4 6 0.457727211303377 6.62178699018886 6.60652941647874 0.307287534521667 0.509267295296137 0.606057876392345 "cc1" 115 43 126 15 140
"13" "C57BL6/J" "Female" 20 2 2 4 0.191431901882976 2.70876141164411 2.70557087994606 0.132183728250195 0.222893734957443 0.242506166852274 "cc1" 51 5 40 11 9
"14" "C57BL6/J" "Male" 20 2 3 5 0.999937092904932 14.6490784110573 14.5490847017668 0.669291227517702 1.10713034926434 1.31119989103466 "cc1" 88 2 65 5 67
"15" "C57BL6/J" "Male" 20 2 3 5 0.357115704036985 5.71980319299237 5.71385126459176 0.258849366142808 0.448912295759692 0.444022607425541 "cc1" 50 5 96 1 94
"16" "C57BL6/J" "Female" 24 4 5 8 1.00923202182635 19.2864239515664 19.1804545891952 0.721827973352124 1.20714999145203 1.39709680964612 "cc1" 88 7 53 2 70
"17" "C57BL6/J" "Male" 24 1 2 3 0.327968805267545 7.06526799277504 5.80832754564447 0.23388275443183 0.390426364913503 0.46995603580147 "cc1" 31 3 29 0 44
"18" "C57BL6/J" "Male" 24 2 2 4 0.857089140643077 17.6838917075812 17.5938973477462 0.609411806682802 1.01545135919843 1.26578084944164 "cc1" 21 9 20 7 18
"19" "C57BL6/J" "Male" 24 4 5 8 0.33870796444245 6.71573217001947 6.68609522310853 0.240711282810671 0.400970109536899 0.523981677201699 "cc1" 84 7 52 1 110
"20" "C57BL6/J" "Female" 71 5 2 7 0.007605096046882 0.469082324640764 0.46839786599586 0.0111840542577287 0.0223233905506571 0.0219033979422581 "cc1" 126 28 34 8 31
"21" "C57BL6/J" "Female" 71 4 2 5 0.275114686541836 16.0116747727465 15.9043800448879 0.381639093552473 0.757071599770357 0.824792199096895 "cc1" 78 30 13 5 39
"22" "C57BL6/J" "Male" 71 6 3 9 0.212740154736385 16.9958109788856 16.8809312952131 0.310685722287702 0.619686542548208 0.597493617440748 "cc1" 211 46 39 19 108
"23" "C57BL6/J" "Male" 71 4 2 6 0.040878525268718 3.34795122285596 3.30134970400302 0.0606800829695651 0.121232624940164 0.108093049665812 "cc1" 103 34 53 20 116
"24" "C57BL6/J" "Female" 43 4 5 9 0.73484667484356 26.3240450293265 26.1697272274936 0.594252135224805 1.06436845869187 1.36987831284412 "cc1" 129 0 24 12 65
"25" "C57BL6/J" "Female" 43 3 4 7 0.470753829194812 15.4878009921252 15.4795628001081 0.389831246248597 0.706540300153523 0.806234453792089 "cc1" 65 24 66 19 65
"26" "C57BL6/J" "Male" 43 4 6 10 0.625028894758068 26.524663741189 26.4590357071902 0.533446536353727 0.980909410163336 1.10666010317749 "cc1" 141 59 30 6 57
"27" "C57BL6/J" "Male" 43 1 2 3 0.512420482016261 22.9923070453139 22.9295355362198 0.440745667424796 0.813384247482525 0.95567460386255 "cc1" 47 7 12 3 60
"28" "C57BL6/J" "Female" 43 8 4 12 0.472054352800264 26.5530573715679 26.0007537782393 0.691087573190674 1.2711479624917 1.4441413252818 "cc1" 157 40 1 3 0
